Pathway,EchoType,Magnitude,Power,Phase_rad,M1_RO,M1_SL,M1_RSS,RelativeMagnitude,RelativePower,AmplitudeReal,AmplitudeImag
"SS(kRO=-1,kSL=0):Z>RF1493:Z>TR1493>RF1494:Z>TR1494>RF1495:Z>TR1495>RF1496:Z>TR1496>RF1497:Z>TR1497>RF1498:Z>TR1498>RF1499:Z>TR1499>RF1500:F+>TR1500",SE-like,0.0218570552262666,0.000477730863164067,1.5707963267949,0.89274232,0,0.89274232,0.242881112631621,0.804400247330374,0,0.0218570552262666
"SS(kRO=-2,kSL=0):Z>RF1493:Z>TR1493>RF1494:Z>TR1494>RF1495:Z>TR1495>RF1496:Z>TR1496>RF1497:Z>TR1497>RF1498:Z>TR1498>RF1499:F+>TR1499>RF1500:F+>TR1500",SE-like,0.00711357894491389,5.06030054055223e-05,1.5707963267949,1.78488928,0,1.78488928,0.0790478841292967,0.0852050248423723,0,0.00711357894491389
"SS(kRO=0,kSL=0):Z>RF1493:F->TR1493>RF1494:Z>TR1494>RF1495:Z>TR1495>RF1496:Z>TR1496>RF1497:Z>TR1497>RF1498:Z>TR1498>RF1499:Z>TR1499>RF1500:F+>TR1500",STE-like,0.00239205616142722,5.72193267942192e-06,1.5707963267949,0.00416751999999998,0,0.00416751999999998,0.0265811316277671,0.00963455455243223,0,0.00239205616142722
"SS(kRO=0,kSL=0):Z>RF1493:Z>TR1493>RF1494:F->TR1494>RF1495:Z>TR1495>RF1496:Z>TR1496>RF1497:Z>TR1497>RF1498:Z>TR1498>RF1499:Z>TR1499>RF1500:F+>TR1500",STE-like,0.00239205616142722,5.72193267942192e-06,1.5707963267949,0.00357216000000005,0,0.00357216000000005,0.0265811316277671,0.00963455455243223,0,0.00239205616142722
"SS(kRO=0,kSL=0):Z>RF1493:Z>TR1493>RF1494:Z>TR1494>RF1495:F->TR1495>RF1496:Z>TR1496>RF1497:Z>TR1497>RF1498:Z>TR1498>RF1499:Z>TR1499>RF1500:F+>TR1500",STE-like,0.00239205616142722,5.72193267942192e-06,1.5707963267949,0.0029768,0,0.0029768,0.0265811316277671,0.00963455455243223,0,0.00239205616142722
"SS(kRO=0,kSL=0):Z>RF1493:Z>TR1493>RF1494:Z>TR1494>RF1495:Z>TR1495>RF1496:F->TR1496>RF1497:Z>TR1497>RF1498:Z>TR1498>RF1499:Z>TR1499>RF1500:F+>TR1500",STE-like,0.00239205616142722,5.72193267942192e-06,1.5707963267949,0.00238144000000007,0,0.00238144000000007,0.0265811316277671,0.00963455455243223,0,0.00239205616142722
"SS(kRO=0,kSL=0):Z>RF1493:Z>TR1493>RF1494:Z>TR1494>RF1495:Z>TR1495>RF1496:Z>TR1496>RF1497:Z>TR1497>RF1498:F->TR1498>RF1499:Z>TR1499>RF1500:F+>TR1500",STE-like,0.00239205616142722,5.72193267942192e-06,1.5707963267949,0.00119071999999998,0,0.00119071999999998,0.0265811316277671,0.00963455455243223,0,0.00239205616142722
"SS(kRO=0,kSL=0):Z>RF1493:Z>TR1493>RF1494:Z>TR1494>RF1495:Z>TR1495>RF1496:Z>TR1496>RF1497:F->TR1497>RF1498:Z>TR1498>RF1499:Z>TR1499>RF1500:F+>TR1500",STE-like,0.00239205616142722,5.72193267942192e-06,1.5707963267949,0.00178608000000002,0,0.00178608000000002,0.0265811316277671,0.00963455455243222,0,0.00239205616142722
"SS(kRO=-3,kSL=0):Z>RF1493:Z>TR1493>RF1494:Z>TR1494>RF1495:Z>TR1495>RF1496:Z>TR1496>RF1497:Z>TR1497>RF1498:F+>TR1498>RF1499:F+>TR1499>RF1500:F+>TR1500",SE-like,0.00231517946409869,5.3600559509843e-06,1.5707963267949,2.67644088,0,2.67644088,0.0257268583695764,0.00902522877446096,0,0.00231517946409869
"SS(kRO=-1,kSL=0):F->RF1493:Z>TR1493>RF1494:Z>TR1494>RF1495:Z>TR1495>RF1496:Z>TR1496>RF1497:Z>TR1497>RF1498:Z>TR1498>RF1499:Z>TR1499>RF1500:F+>TR1500",STE-like,0.00159137038885566,2.53245971452661e-06,1.5707963267949,0.89274232,0,0.89274232,0.017683709294461,0.00426413986994139,0,0.00159137038885566
"SS(kRO=0,kSL=0):Z>RF1493:F->TR1493>RF1494:F->TR1494>RF1495:Z>TR1495>RF1496:Z>TR1496>RF1497:Z>TR1497>RF1498:Z>TR1498>RF1499:F+>TR1499>RF1500:F+>TR1500",STE-like,0.00158373925795825,2.50823003719815e-06,1.5707963267949,0.00714431999999998,0,0.00714431999999998,0.0175989102424472,0.00422334209039946,0,0.00158373925795825
"SS(kRO=0,kSL=0):Z>RF1493:Z>TR1493>RF1494:F->TR1494>RF1495:F->TR1495>RF1496:Z>TR1496>RF1497:Z>TR1497>RF1498:Z>TR1498>RF1499:F+>TR1499>RF1500:F+>TR1500",STE-like,0.00158373925795825,2.50823003719815e-06,1.5707963267949,0.00595360000000011,0,0.00595360000000011,0.0175989102424472,0.00422334209039945,0,0.00158373925795825
