Pathway,EchoType,Magnitude,Power,Phase_rad,M1_RO,M1_SL,M1_RSS,RelativeMagnitude,RelativePower,AmplitudeReal,AmplitudeImag
"SS(kRO=0,kSL=-2):Z>RF1493:Z>TR1493>RF1494:Z>TR1494>RF1495:Z>TR1495>RF1496:Z>TR1496>RF1497:Z>TR1497>RF1498:Z>TR1498>RF1499:F+>TR1499>RF1500:F+>TR1500",SE-like,0.0119952611480152,0.000143886290009082,1.5707963267949,-0.000595360000000045,0.44622232,0.446222717171271,0.199190662793782,0.559788964462074,0,0.0119952611480152
"SS(kRO=1,kSL=-1):Z>RF1493:Z>TR1493>RF1494:Z>TR1494>RF1495:Z>TR1495>RF1496:Z>TR1496>RF1497:Z>TR1497>RF1498:Z>TR1498>RF1499:Z>TR1499>RF1500:F+>TR1500",SE-like,0.00880096558860859,7.74569952918725e-05,1.5707963267949,-0.89274232,0.22318558,0.92021772045474,0.146146894776883,0.301346091987251,0,0.00880096558860859
"SS(kRO=0,kSL=0):Z>RF1493:Z>TR1493>RF1494:Z>TR1494>RF1495:Z>TR1495>RF1496:F->TR1496>RF1497:Z>TR1497>RF1498:Z>TR1498>RF1499:Z>TR1499>RF1500:F+>TR1500",STE-like,0.00215306327373545,4.63568146070842e-06,1.5707963267949,-0.00238144000000007,0.000595360000000017,0.0024547321652678,0.035753294175115,0.0180350978839068,0,0.00215306327373545
"SS(kRO=0,kSL=0):Z>RF1493:Z>TR1493>RF1494:Z>TR1494>RF1495:Z>TR1495>RF1496:Z>TR1496>RF1497:Z>TR1497>RF1498:F->TR1498>RF1499:Z>TR1499>RF1500:F+>TR1500",STE-like,0.00215306327373545,4.63568146070842e-06,1.5707963267949,-0.00119071999999998,0.000297679999999995,0.00122736608263384,0.035753294175115,0.0180350978839068,0,0.00215306327373545
"SS(kRO=0,kSL=0):Z>RF1493:Z>TR1493>RF1494:F->TR1494>RF1495:Z>TR1495>RF1496:Z>TR1496>RF1497:Z>TR1497>RF1498:Z>TR1498>RF1499:Z>TR1499>RF1500:F+>TR1500",STE-like,0.00215306327373545,4.63568146070842e-06,1.5707963267949,-0.00357216000000005,0.000893040000000012,0.00368209824790164,0.035753294175115,0.0180350978839068,0,0.00215306327373545
"SS(kRO=0,kSL=-4):Z>RF1493:Z>TR1493>RF1494:Z>TR1494>RF1495:Z>TR1495>RF1496:Z>TR1496>RF1497:F+>TR1497>RF1498:F+>TR1498>RF1499:F+>TR1499>RF1500:F+>TR1500",SE-like,0.00214066441131999,4.58244412189195e-06,1.5707963267949,-0.00119072000000009,0.89184928,0.89185007487281,0.0355474013986302,0.0178279782565615,0,0.00214066441131999
"SS(kRO=1,kSL=-1):F->RF1493:Z>TR1493>RF1494:Z>TR1494>RF1495:Z>TR1495>RF1496:Z>TR1496>RF1497:Z>TR1497>RF1498:Z>TR1498>RF1499:Z>TR1499>RF1500:F+>TR1500",STE-like,0.00154330956577172,2.3818044158025e-06,1.5707963267949,-0.89274232,0.22318558,0.92021772045474,0.0256278584941787,0.00926639937265127,0,0.00154330956577172
"SS(kRO=0,kSL=0):Z>RF1493:Z>TR1493>RF1494:Z>TR1494>RF1495:Z>TR1495>RF1496:F->TR1496>RF1497:F->TR1497>RF1498:Z>TR1498>RF1499:F+>TR1499>RF1500:F+>TR1500",STE-like,0.00142550617601237,2.03206785784941e-06,1.5707963267949,-0.00119072000000009,0.000893039999999984,0.00148840000000006,0.0236716413684347,0.00790575086612066,0,0.00142550617601237
"SS(kRO=0,kSL=0):Z>RF1493:F->TR1493>RF1494:F->TR1494>RF1495:Z>TR1495>RF1496:Z>TR1496>RF1497:Z>TR1497>RF1498:Z>TR1498>RF1499:F+>TR1499>RF1500:F+>TR1500",STE-like,0.00142550617601237,2.03206785784941e-06,1.5707963267949,-1.11022302462516e-16,0.00178608,0.00178608,0.0236716413684347,0.00790575086612066,0,0.00142550617601237
"SS(kRO=0,kSL=0):Z>RF1493:Z>TR1493>RF1494:Z>TR1494>RF1495:F->TR1495>RF1496:F->TR1496>RF1497:Z>TR1497>RF1498:Z>TR1498>RF1499:F+>TR1499>RF1500:F+>TR1500",STE-like,0.00142550617601237,2.03206785784941e-06,1.5707963267949,-1.11022302462516e-16,0.00119072000000001,0.00119072000000001,0.0236716413684347,0.00790575086612066,0,0.00142550617601237
"SS(kRO=0,kSL=0):Z>RF1493:Z>TR1493>RF1494:F->TR1494>RF1495:F->TR1495>RF1496:Z>TR1496>RF1497:Z>TR1497>RF1498:Z>TR1498>RF1499:F+>TR1499>RF1500:F+>TR1500",STE-like,0.00142550617601237,2.03206785784941e-06,1.5707963267949,-0.00119072000000009,0.00148840000000003,0.00190608202299909,0.0236716413684347,0.00790575086612065,0,0.00142550617601237
"SS(kRO=1,kSL=-1):F->RF1493:F->TR1493>RF1494:Z>TR1494>RF1495:Z>TR1495>RF1496:Z>TR1496>RF1497:Z>TR1497>RF1498:Z>TR1498>RF1499:F+>TR1499>RF1500:F+>TR1500",STE-like,0.00102179872943988,1.04407264348496e-06,1.5707963267949,-0.88917016,0.22407862,0.916970447383955,0.016967764490284,0.00406195992601335,0,0.00102179872943988
"SS(kRO=0,kSL=0):Z>RF1493:Z>TR1493>RF1494:F->TR1494>RF1495:F->TR1495>RF1496:F->TR1496>RF1497:Z>TR1497>RF1498:F+>TR1498>RF1499:F+>TR1499>RF1500:F+>TR1500",STE-like,0.000943803130469028,8.90764349083138e-07,1.5707963267949,-0.00238144000000018,0.00178608,0.00297680000000014,0.015672586764489,0.00346551469581646,0,0.000943803130469028
"SS(kRO=0,kSL=-2):F->RF1493:Z>TR1493>RF1494:Z>TR1494>RF1495:Z>TR1495>RF1496:Z>TR1496>RF1497:Z>TR1497>RF1498:Z>TR1498>RF1499:F+>TR1499>RF1500:F+>TR1500",STE-like,0.000771738164253399,5.95579794165206e-07,1.5707963267949,-0.000595360000000045,0.44622232,0.446222717171271,0.0128153138597009,0.00231710051186414,0,0.000771738164253399
"SS(kRO=0,kSL=0):Z>RF1493:Z>TR1493>RF1494:Z>TR1494>RF1495:Z>TR1495>RF1496:Z>TR1496>RF1497:F->TR1497>RF1498:F->TR1498>RF1499:F+>TR1499>RF1500:F+>TR1500",SE-like,0.000700399380552446,4.9055929227825e-07,1.5707963267949,0,0.000595360000000017,0.000595360000000017,0.0116306777410745,0.00190851872137614,0,0.000700399380552446
"SS(kRO=1,kSL=-1):F->RF1493:F->TR1493>RF1494:F->TR1494>RF1495:Z>TR1495>RF1496:Z>TR1496>RF1497:Z>TR1497>RF1498:F+>TR1498>RF1499:F+>TR1499>RF1500:F+>TR1500",STE-like,0.000676515371018827,4.57673047224741e-07,1.5707963267949,-0.8915516,0.22467398,0.919425175178274,0.0112340651429435,0.00178057493283042,0,0.000676515371018827
